,indice,NAME OF ISSUER,TITLE OF CLASS,CUSIP,(x$1000),PRN AMT,PRN,date_reported,cik_company
44,527200507V109202111,ACTIVISION BLIZZARD INC,COM,00507V109,21289,275090,SH,202111,5272
45,527200508Y102202111,ACUITY BRANDS INC,COM,00508Y102,10661,61494,SH,202111,5272
46,527200509G209202111,ACUMEN PHARMACEUTICALS INC,COM,00509G209,78,5247,SH,202111,5272
47,5272005098108202111,ACUSHNET HOLDINGS CORP,COM,005098108,876,18768,SH,202111,5272
48,5272005111109202111,ACUTUS MEDICAL INC,COM,005111109,92,10463,SH,202111,5272
49,527200534A102202111,ADAGIO THERAPEUTICS INC,COM,00534A102,488,11562,SH,202111,5272
50,527200653Q102202111,ADAPTHEALTH CORP,CL A,00653Q102,914,39226,SH,202111,5272
51,527200650F109202111,ADAPTIVE BIOTECHNOLOGIES,COM,00650F109,69,2036,SH,202111,5272
52,5272006739106202111,ADDUS HOMECARE CORP,COM,006739106,774,9702,SH,202111,5272
53,5272007002108202111,ADICET BIO INC,COM,007002108,90,11447,SH,202111,5272
54,5272G0084W101202111,ADIENT PLC,COM,G0084W101,8832,213070,SH,202111,5272
55,527200724F101202111,ADOBE INC,COM,00724F101,123342,214239,SH,202111,5272
56,527200090Q103202111,ADT INC,COM,00090Q103,14,1760,SH,202111,5272
57,527200737L103202111,ADTALEM GLOBAL EDUCATION INC,COM,00737L103,1175,31068,SH,202111,5272
58,527200738A106202111,ADTRAN INC,COM,00738A106,568,30293,SH,202111,5272
59,527200751Y106202111,ADVANCE AUTO PARTS INC,COM,00751Y106,4082,19542,SH,202111,5272
60,527200790R104202111,ADVANCED DRAINAGE SYSTEMS IN,COM,00790R104,129,1188,SH,202111,5272
61,5272007973100202111,ADVANCED ENERGY INDUSTRIES,COM,007973100,2118,24142,SH,202111,5272
62,5272007903107202111,ADVANCED MICRO DEVICES,COM,007903107,48807,474311,SH,202111,5272
63,527200773T101202111,ADVANSIX INC,COM,00773T101,684,17206,SH,202111,5272
64,527200791N102202111,ADVANTAGE SOLUTIONS INC,CL A,00791N102,362,41817,SH,202111,5272
65,527200788A105202111,ADVENT TECHNOLOGIES HOLDINGS,CL A,00788A105,75,8607,SH,202111,5272
66,527200773U108202111,ADVERUM BIOTECHNOLOGIES INC,COM,00773U108,103,47549,SH,202111,5272
67,527200766T100202111,AECOM,COM,00766T100,15663,248021,SH,202111,5272
68,527200773J103202111,AEGLEA BIOTHERAPEUTICS INC,COM,00773J103,176,22120,SH,202111,5272
69,527200770K202202111,AEMETIS INC,COM,00770K202,271,14798,SH,202111,5272
70,527200771V108202111,AERIE PHARMACEUTICALS INC,COM,00771V108,264,23170,SH,202111,5272
71,5272007800105202111,AEROJET ROCKETDYNE HOLDINGS,COM,007800105,2045,46963,SH,202111,5272
72,5272008064107202111,AEROVATE THERAPEUTICS INC,COM,008064107,116,5515,SH,202111,5272
73,5272008073108202111,AEROVIRONMENT INC,COM,008073108,1222,14154,SH,202111,5272
74,527200810F106202111,AERSALE CORP,COM,00810F106,84,4947,SH,202111,5272
75,527200130H105202111,AES CORP,COM,00130H105,4577,200469,SH,202111,5272
76,527200835Q103202111,AEVA TECHNOLOGIES INC,COM,00835Q103,333,41978,SH,202111,5272
77,527200109K105202111,AFC GAMMA INC,COM,00109K105,105,4867,SH,202111,5272
78,5272008252108202111,AFFILIATED MANAGERS GROUP,COM,008252108,10722,70965,SH,202111,5272
79,5272N01045108202111,AFFIMED NV,COM,N01045108,393,63538,SH,202111,5272
80,5272001055102202111,AFLAC INC,COM,001055102,12207,234156,SH,202111,5272
81,5272001084102202111,AGCO CORP,COM,001084102,13052,106520,SH,202111,5272
82,527200848K101202111,AGEAGLE AERIAL SYSTEMS INC,COM,00848K101,112,37139,SH,202111,5272
83,527200847G705202111,AGENUS INC,COM,00847G705,594,113076,SH,202111,5272
84,527200846U101202111,AGILENT TECHNOLOGIES INC,COM,00846U101,17183,109077,SH,202111,5272
85,527200848J104202111,AGILITI INC,COM,00848J104,245,12864,SH,202111,5272
86,527200857U107202111,AGILON HEALTH INC,COM,00857U107,34,1300,SH,202111,5272
87,527200847J105202111,AGILYSYS INC,COM,00847J105,649,12396,SH,202111,5272
88,527200847X104202111,AGIOS PHARMACEUTICALS INC,COM,00847X104,1490,32283,SH,202111,5272
89,527200123Q104202111,AGNC INVESTMENT CORP,COM,00123Q104,92,5839,SH,202111,5272
90,5272008492100202111,AGREE REALTY CORP,COM,008492100,2833,42768,SH,202111,5272
91,527200912X302202111,AIR LEASE CORP,COM,00912X302,47,1192,SH,202111,5272
92,5272009158106202111,AIR PRODUCTS and CHEMICALS INC,COM,009158106,19192,74937,SH,202111,5272
93,527200922R105202111,AIR TRANSPORT SERVICES GROUP,COM,00922R105,834,32306,SH,202111,5272
94,527200971T101202111,AKAMAI TECHNOLOGIES INC,COM,00971T101,5687,54378,SH,202111,5272
95,527200972D105202111,AKEBIA THERAPEUTICS INC,COM,00972D105,275,95461,SH,202111,5272
96,527200973Y108202111,AKERO THERAPEUTICS INC,COM,00973Y108,315,14072,SH,202111,5272
97,527200973J101202111,AKOUOS INC,COM,00973J101,153,13138,SH,202111,5272
98,527200973N102202111,AKOUSTIS TECHNOLOGIES INC,COM,00973N102,231,23792,SH,202111,5272
99,527200974H104202111,AKOYA BIOSCIENCES INC,COM,00974H104,59,4235,SH,202111,5272
100,5272011311107202111,ALAMO GROUP INC,COM,011311107,870,6237,SH,202111,5272
101,5272011642105202111,ALARM.COM HOLDINGS INC,COM,011642105,2312,29568,SH,202111,5272
102,5272011659109202111,ALASKA AIR GROUP INC,COM,011659109,2189,37361,SH,202111,5272
103,5272012348108202111,ALBANY INTL CORP CL A,CL A,012348108,1495,19443,SH,202111,5272
104,5272012653101202111,ALBEMARLE CORP,COM,012653101,7802,35629,SH,202111,5272
105,5272013091103202111,ALBERTSONS COS INC CLASS A,COM,013091103,54,1729,SH,202111,5272
106,527201345P106202111,ALBIREO PHARMA INC,COM,01345P106,288,9235,SH,202111,5272
107,5272013872106202111,ALCOA CORP,COM,013872106,102,2080,SH,202111,5272
108,527201438T106202111,ALDEYRA THERAPEUTICS INC,COM,01438T106,233,26563,SH,202111,5272
109,5272014442107202111,ALECTOR INC,COM,014442107,730,31970,SH,202111,5272
110,527201446U103202111,ALERUS FINANCIAL CORP,COM,01446U103,247,8251,SH,202111,5272
111,5272014491104202111,ALEXANDER and BALDWIN INC,COM,014491104,1066,45486,SH,202111,5272
112,5272014752109202111,ALEXANDER S INC,COM,014752109,305,1171,SH,202111,5272
113,5272015271109202111,ALEXANDRIA REAL ESTATE EQUIT,COM,015271109,7944,41579,SH,202111,5272
114,527201609W102202111,ALIBABA GROUP HOLDING SP ADR,ADR,01609W102,3744,25291,SH,202111,5272
115,5272016255101202111,ALIGN TECHNOLOGY INC,COM,016255101,18906,28412,SH,202111,5272
116,527201625V104202111,ALIGNMENT HEALTHCARE INC,COM,01625V104,230,14417,SH,202111,5272
117,527201626L105202111,ALIGOS THERAPEUTICS INC,COM,01626L105,179,11558,SH,202111,5272
118,527201644J108202111,ALKAMI TECHNOLOGY INC,COM,01644J108,98,3954,SH,202111,5272
119,5272G01767105202111,ALKERMES PLC,COM,G01767105,2708,87801,SH,202111,5272
120,527201671P100202111,ALLAKOS INC,COM,01671P100,2025,19129,SH,202111,5272
121,5272017175100202111,ALLEGHANY CORP,COM,017175100,14921,23896,SH,202111,5272
122,527201741R102202111,ALLEGHENY TECHNOLOGIES INC,COM,01741R102,1329,79940,SH,202111,5272
123,527201748H107202111,ALLEGIANCE BANCSHARES INC,COM,01748H107,455,11934,SH,202111,5272
124,527201748X102202111,ALLEGIANT TRAVEL CO,COM,01748X102,1879,9611,SH,202111,5272
125,5272G0176J109202111,ALLEGION PLC,COM,G0176J109,3648,27595,SH,202111,5272
126,527201749D105202111,ALLEGRO MICROSYSTEMS INC,COM,01749D105,25,789,SH,202111,5272
127,5272018522300202111,ALLETE INC,COM,018522300,7034,118175,SH,202111,5272
128,5272018581108202111,ALLIANCE DATA SYSTEMS CORP,COM,018581108,8645,85691,SH,202111,5272
129,5272018802108202111,ALLIANT ENERGY CORP,COM,018802108,5135,91721,SH,202111,5272
130,5272019330109202111,ALLIED MOTION TECHNOLOGIES,COM,019330109,199,6368,SH,202111,5272
131,527201973R101202111,ALLISON TRANSMISSION HOLDING,COM,01973R101,65,1849,SH,202111,5272
132,5272019770106202111,ALLOGENE THERAPEUTICS INC,COM,019770106,957,37218,SH,202111,5272
133,5272019818103202111,ALLOVIR INC,COM,019818103,405,16144,SH,202111,5272
134,5272019818103202111,ALLOVIR INC,COM,019818103,28290,1128888,SH,202111,5272
135,527201988P108202111,ALLSCRIPTS HEALTHCARE SOLUTI,COM,01988P108,1041,77875,SH,202111,5272
136,5272020002101202111,ALLSTATE CORP,COM,020002101,13017,102249,SH,202111,5272
137,527202005N100202111,ALLY FINANCIAL INC,COM,02005N100,205,4014,SH,202111,5272
138,527202043Q107202111,ALNYLAM PHARMACEUTICALS INC,COM,02043Q107,440,2329,SH,202111,5272
139,5272G6331P104202111,ALPHA and OMEGA SEMICONDUCTOR,COM,G6331P104,363,11558,SH,202111,5272
140,527202080L102202111,ALPHA TEKNOVA INC,COM,02080L102,95,3811,SH,202111,5272
141,527202079K305202111,ALPHABET INC CL A,CAP STK CL A,02079K305,269451,100785,SH,202111,5272
142,527202079K107202111,ALPHABET INC CL C,CAP STK CL C,02079K107,255582,95892,SH,202111,5272
143,527202081G201202111,ALPHATEC HOLDINGS INC,COM,02081G201,472,38702,SH,202111,5272
144,527202083G100202111,ALPINE IMMUNE SCIENCES INC,COM,02083G100,68,6358,SH,202111,5272
145,527202128L106202111,ALTA EQUIPMENT GROUP INC,COM,02128L106,142,10348,SH,202111,5272
146,5272021347109202111,ALTABANCORP,COM,021347109,436,9871,SH,202111,5272
147,5272021369103202111,ALTAIR ENGINEERING INC A,COM,021369103,1745,25315,SH,202111,5272
148,527202156B103202111,ALTERYX INC CLASS A,COM,02156B103,84,1155,SH,202111,5272
149,527202156K103202111,ALTICE USA INC A,COM,02156K103,76,3653,SH,202111,5272
150,527202155H200202111,ALTIMMUNE INC,COM,02155H200,245,21695,SH,202111,5272
151,5272021513106202111,ALTO INGREDIENTS INC,COM,021513106,193,39144,SH,202111,5272
152,527202208R106202111,ALTRA INDUSTRIAL MOTION CORP,COM,02208R106,1963,35469,SH,202111,5272
153,527202209S103202111,ALTRIA GROUP INC,COM,02209S103,24132,530146,SH,202111,5272
154,527202215L209202111,ALTUS MIDSTREAM CO A,CL A,02215L209,123,1784,SH,202111,5272
155,527200166B105202111,ALX ONCOLOGY HOLDINGS INC,COM,00166B105,717,9705,SH,202111,5272
156,5272022671101202111,AMALGAMATED FINANCIAL CORP,COM,022671101,118,7458,SH,202111,5272
157,5272023135106202111,AMAZON.COM INC,COM,023135106,488518,148710,SH,202111,5272
158,5272023139884202111,AMBAC FINANCIAL GROUP INC,COM,023139884,410,28616,SH,202111,5272
159,5272G037AX101202111,AMBARELLA INC,COM,G037AX101,2979,19131,SH,202111,5272
160,527200165C104202111,AMC ENTERTAINMENT HLDS CL A,CL A COM,00165C104,10754,282556,SH,202111,5272
161,527200164V103202111,AMC NETWORKS INC A,COM,00164V103,851,18270,SH,202111,5272
162,5272G0250X107202111,AMCOR PLC,COM,G0250X107,5526,476771,SH,202111,5272
163,5272G02602103202111,AMDOCS LTD,COM,G02602103,109,1441,SH,202111,5272
164,5272023436108202111,AMEDISYS INC,COM,023436108,8414,56434,SH,202111,5272
165,5272027745108202111,AMER NATL BNKSHS/DANVILLE VA,COM,027745108,192,5807,SH,202111,5272
166,5272023576101202111,AMERANT BANCORP INC,COM,023576101,284,11490,SH,202111,5272
167,5272023586100202111,AMERCO,COM,023586100,65,100,SH,202111,5272
168,5272023608102202111,AMEREN CORPORATION,COM,023608102,6218,76762,SH,202111,5272
169,527202361E108202111,AMERESCO INC CL A,CL A,02361E108,988,16915,SH,202111,5272
170,527203062T105202111,AMERICA S CAR MART INC,COM,03062T105,457,3912,SH,202111,5272
171,527202376R102202111,AMERICAN AIRLINES GROUP INC,COM,02376R102,3965,193248,SH,202111,5272
172,5272024013104202111,AMERICAN ASSETS TRUST INC,COM,024013104,1181,31560,SH,202111,5272
173,5272024061103202111,AMERICAN AXLE and MFG HOLDINGS,COM,024061103,625,70894,SH,202111,5272
174,5272024835100202111,AMERICAN CAMPUS COMMUNITIES,COM,024835100,11606,239549,SH,202111,5272
175,527202553E106202111,AMERICAN EAGLE OUTFITTERS,COM,02553E106,8887,344467,SH,202111,5272
176,5272025537101202111,AMERICAN ELECTRIC POWER,COM,025537101,14219,175150,SH,202111,5272
177,5272025676206202111,AMERICAN EQUITY INVT LIFE HL,COM,025676206,1534,51893,SH,202111,5272
178,5272025816109202111,AMERICAN EXPRESS CO,COM,025816109,38012,226895,SH,202111,5272
179,527202607T109202111,AMERICAN FINANCE TRUST INC,COM,02607T109,521,64834,SH,202111,5272
180,5272025932104202111,AMERICAN FINANCIAL GROUP INC,COM,025932104,14328,113865,SH,202111,5272
181,527202665T306202111,AMERICAN HOMES 4 RENT A,COM,02665T306,120,3151,SH,202111,5272
182,5272026874784202111,AMERICAN INTERNATIONAL GROUP,COM,026874784,13495,245859,SH,202111,5272
183,527202772A109202111,AMERICAN NATIONAL GROUP INC,COM,02772A109,771,4080,SH,202111,5272
184,527202875D109202111,AMERICAN OUTDOOR BRANDS INC,COM,02875D109,190,7716,SH,202111,5272
185,527202913V103202111,AMERICAN PUBLIC EDUCATION,COM,02913V103,299,11683,SH,202111,5272
186,5272029683109202111,AMERICAN SOFTWARE INC CL A,CL A,029683109,409,17208,SH,202111,5272
187,5272029899101202111,AMERICAN STATES WATER CO,COM,029899101,1980,23157,SH,202111,5272
188,5272030111207202111,AMERICAN SUPERCONDUCTOR CORP,COM,030111207,220,15115,SH,202111,5272
189,527203027X100202111,AMERICAN TOWER CORP,COM,03027X100,39950,150520,SH,202111,5272
190,5272030371108202111,AMERICAN VANGUARD CORP,COM,030371108,274,18210,SH,202111,5272
191,5272030420103202111,AMERICAN WATER WORKS CO INC,COM,030420103,13368,79081,SH,202111,5272
192,527203044L105202111,AMERICAN WELL CORP CLASS A,CL A,03044L105,913,100225,SH,202111,5272
193,5272030506109202111,AMERICAN WOODMARK CORP,COM,030506109,689,10536,SH,202111,5272
194,527203064D108202111,AMERICOLD REALTY TRUST,COM,03064D108,84,2908,SH,202111,5272
195,527203076C106202111,AMERIPRISE FINANCIAL INC,COM,03076C106,9114,34507,SH,202111,5272
196,527203076K108202111,AMERIS BANCORP,COM,03076K108,2165,41724,SH,202111,5272
197,527203071H100202111,AMERISAFE INC,COM,03071H100,677,12046,SH,202111,5272
198,527203073E105202111,AMERISOURCEBERGEN CORP,COM,03073E105,5335,44665,SH,202111,5272
199,5272031100100202111,AMETEK INC,COM,031100100,9571,77181,SH,202111,5272
200,5272031162100202111,AMGEN INC,COM,031162100,47966,225561,SH,202111,5272
201,527203152W109202111,AMICUS THERAPEUTICS INC,COM,03152W109,1375,143934,SH,202111,5272
202,5272031652100202111,AMKOR TECHNOLOGY INC,COM,031652100,5671,227300,SH,202111,5272
203,527200175J107202111,AMMO INC,COM,00175J107,290,47129,SH,202111,5272
204,5272001744101202111,AMN HEALTHCARE SERVICES INC,COM,001744101,3396,29599,SH,202111,5272
205,527203168L105202111,AMNEAL PHARMACEUTICALS INC,COM,03168L105,291,54578,SH,202111,5272
206,527203209R103202111,AMPHASTAR PHARMACEUTICALS IN,COM,03209R103,442,23225,SH,202111,5272
207,5272032095101202111,AMPHENOL CORP CL A,CL A,032095101,14306,195360,SH,202111,5272
208,527203209T109202111,AMPIO PHARMACEUTICALS INC,COM,03209T109,177,106644,SH,202111,5272
209,527203236M200202111,AMYRIS INC,COM,03236M200,1285,93572,SH,202111,5272
210,5272032654105202111,ANALOG DEVICES INC,COM,032654105,33912,202484,SH,202111,5272
211,527203272L108202111,ANAPLAN INC,COM,03272L108,168,2758,SH,202111,5272
212,5272032724106202111,ANAPTYSBIO INC,COM,032724106,286,10553,SH,202111,5272
213,5272032797300202111,ANAVEX LIFE SCIENCES CORP,COM,032797300,630,35120,SH,202111,5272
214,5272034164103202111,ANDERSONS INC/THE,COM,034164103,607,19704,SH,202111,5272
215,527203464Y108202111,ANGEL OAK MORTGAGE INC,COM,03464Y108,67,3977,SH,202111,5272
216,527203475V101202111,ANGIODYNAMICS INC,COM,03475V101,605,23341,SH,202111,5272
217,527203476J107202111,ANGION BIOMEDICA CORP,COM,03476J107,116,11915,SH,202111,5272
218,527200182C103202111,ANI PHARMACEUTICALS INC,COM,00182C103,201,6130,SH,202111,5272
219,5272035255108202111,ANIKA THERAPEUTICS INC,COM,035255108,385,9056,SH,202111,5272
220,5272035710409202111,ANNALY CAPITAL MANAGEMENT IN,COM,035710409,131,15569,SH,202111,5272
221,527203589W102202111,ANNEXON INC,COM,03589W102,318,17066,SH,202111,5272
222,527203662Q105202111,ANSYS INC,COM,03662Q105,13877,40761,SH,202111,5272
223,5272036642106202111,ANTARES PHARMA INC,COM,036642106,333,91365,SH,202111,5272
224,527203676C100202111,ANTERIX INC,COM,03676C100,381,6278,SH,202111,5272
225,527203676B102202111,ANTERO MIDSTREAM CORP,COM,03676B102,5828,559268,SH,202111,5272
226,527203674X106202111,ANTERO RESOURCES CORP,COM,03674X106,2946,156645,SH,202111,5272
227,5272036752103202111,ANTHEM INC,COM,036752103,29796,79925,SH,202111,5272
228,5272G0403H108202111,AON PLC CLASS A,CL A,G0403H108,21229,74287,SH,202111,5272
229,527203743Q108202111,APA CORP,COM,03743Q108,2419,112878,SH,202111,5272
230,527203750L109202111,APARTMENT INCOME REIT CO,COM,03750L109,13194,270319,SH,202111,5272
231,527203748R747202111,APARTMENT INVT and MGMT CO A,COM,03748R747,559,81540,SH,202111,5272
232,527203753U106202111,APELLIS PHARMACEUTICALS INC,COM,03753U106,1172,35549,SH,202111,5272
233,527200187Y100202111,API GROUP CORP,COM,00187Y100,2207,108467,SH,202111,5272
234,5272037598109202111,APOGEE ENTERPRISES INC,COM,037598109,600,15898,SH,202111,5272
235,527203762U105202111,APOLLO COMMERCIAL REAL ESTAT,COM,03762U105,1296,87369,SH,202111,5272
236,527203768E105202111,APOLLO GLOBAL MANAGEMENT INC,CL A,03768E105,219,3560,SH,202111,5272
237,527203763A207202111,APOLLO MEDICAL HOLDINGS INC,COM,03763A207,2154,23653,SH,202111,5272
238,527203783C100202111,APPFOLIO INC A,COM,03783C100,1235,10257,SH,202111,5272
239,527203783T103202111,APPHARVEST INC,COM,03783T103,249,38186,SH,202111,5272
240,527203782L101202111,APPIAN CORP,COM,03782L101,1992,21532,SH,202111,5272
241,527203784Y200202111,APPLE HOSPITALITY REIT INC,COM,03784Y200,1846,117367,SH,202111,5272
242,5272037833100202111,APPLE INC,COM,037833100,748622,5290612,SH,202111,5272
243,527203820C105202111,APPLIED INDUSTRIAL TECH INC,COM,03820C105,2196,24365,SH,202111,5272
244,5272038222105202111,APPLIED MATERIALS INC,COM,038222105,46212,358984,SH,202111,5272
245,527203824M109202111,APPLIED MOLECULAR TRANSPORT,COM,03824M109,354,13692,SH,202111,5272
246,527203823U102202111,APPLIED OPTOELECTRONICS INC,COM,03823U102,14,2004,SH,202111,5272
247,527203828A101202111,APPLIED THERAPEUTICS INC,COM,03828A101,161,9694,SH,202111,5272
248,527203836A101202111,APRIA INC,COM,03836A101,307,8260,SH,202111,5272
249,5272038336103202111,APTARGROUP INC,COM,038336103,13557,113594,SH,202111,5272
250,5272G6095L109202111,APTIV PLC,COM,G6095L109,12904,86619,SH,202111,5272
251,527203837C106202111,APYX MEDICAL CORP,COM,03837C106,236,17071,SH,202111,5272
252,527203842K200202111,AQUABOUNTY TECHNOLOGIES,COM,03842K200,117,28724,SH,202111,5272
253,527203852U106202111,ARAMARK,COM,03852U106,84,2553,SH,202111,5272
254,5272038923108202111,ARBOR REALTY TRUST INC,COM,038923108,1379,74414,SH,202111,5272
255,527203879J100202111,ARBUTUS BIOPHARMA CORP,COM,03879J100,189,43977,SH,202111,5272
256,527203937C105202111,ARCBEST CORP,COM,03937C105,1301,15907,SH,202111,5272
257,5272G0450A105202111,ARCH CAPITAL GROUP LTD,COM,G0450A105,192,5023,SH,202111,5272
258,527203940R107202111,ARCH RESOURCES INC,CL A,03940R107,768,8276,SH,202111,5272
259,5272039483102202111,ARCHER DANIELS MIDLAND CO,COM,039483102,10023,167016,SH,202111,5272
260,527203957W106202111,ARCHROCK INC,COM,03957W106,698,84579,SH,202111,5272
261,5272039587100202111,ARCIMOTO INC,COM,039587100,171,14987,SH,202111,5272
262,527203966V107202111,ARCONIC CORP,COM,03966V107,2183,69208,SH,202111,5272
263,5272039653100202111,ARCOSA INC,COM,039653100,1526,30410,SH,202111,5272
264,527203969T109202111,ARCTURUS THERAPEUTICS HOLDIN,COM,03969T109,552,11554,SH,202111,5272
265,527203969F109202111,ARCUS BIOSCIENCES INC,COM,03969F109,865,24797,SH,202111,5272
266,527203969K108202111,ARCUTIS BIOTHERAPEUTICS INC,COM,03969K108,362,15139,SH,202111,5272
267,5272L0223L101202111,ARDAGH GROUP SA,COM,L0223L101,5,205,SH,202111,5272
268,5272039697107202111,ARDELYX INC,COM,039697107,64,48373,SH,202111,5272
269,5272040047607202111,ARENA PHARMACEUTICALS INC,COM,040047607,1993,33471,SH,202111,5272
270,527204013V108202111,ARES COMMERCIAL REAL ESTATE,COM,04013V108,361,23955,SH,202111,5272
271,527203990B101202111,ARES MANAGEMENT CORP A,COM,03990B101,189,2558,SH,202111,5272
272,527204010E109202111,ARGAN INC,COM,04010E109,357,8165,SH,202111,5272
273,5272G0464B107202111,ARGO GROUP INTERNATIONAL,COM,G0464B107,906,17354,SH,202111,5272
274,5272040413106202111,ARISTA NETWORKS INC,COM,040413106,6037,17569,SH,202111,5272
275,5272041242108202111,ARKO CORP,COM,041242108,667,66082,SH,202111,5272
276,527204206A101202111,ARLO TECHNOLOGIES INC,COM,04206A101,334,52145,SH,202111,5272
277,527204208T108202111,ARMADA HOFFLER PROPERTIES IN,COM,04208T108,507,37952,SH,202111,5272
278,5272042315507202111,ARMOUR RESIDENTIAL REIT INC,COM,042315507,559,51818,SH,202111,5272
279,527204247X102202111,ARMSTRONG WORLD INDUSTRIES,COM,04247X102,69,725,SH,202111,5272
280,527204271T100202111,ARRAY TECHNOLOGIES INC,COM,04271T100,1295,69914,SH,202111,5272
281,5272042735100202111,ARROW ELECTRONICS INC,COM,042735100,13889,123685,SH,202111,5272
282,5272042744102202111,ARROW FINANCIAL CORP,COM,042744102,260,7564,SH,202111,5272
283,527204280A100202111,ARROWHEAD PHARMACEUTICALS IN,COM,04280A100,14601,233877,SH,202111,5272
284,5272043113208202111,ARTESIAN RESOURCES CORP CL A,CL A,043113208,170,4456,SH,202111,5272
285,5272363576109202111,ARTHUR J GALLAGHER and CO,COM,363576109,9255,62263,SH,202111,5272
286,527204316A108202111,ARTISAN PARTNERS ASSET MA A,COM,04316A108,1568,32043,SH,202111,5272
287,527204335A105202111,ARVINAS INC,COM,04335A105,1963,23890,SH,202111,5272
288,527204342Y104202111,ASANA INC CL A,CL A,04342Y104,4204,40481,SH,202111,5272
289,5272043436104202111,ASBURY AUTOMOTIVE GROUP,COM,043436104,2390,12150,SH,202111,5272
290,527204367G103202111,ASENSUS SURGICAL INC,COM,04367G103,237,128068,SH,202111,5272
291,527200191U102202111,ASGN INC,COM,00191U102,13460,118967,SH,202111,5272
292,5272044103869202111,ASHFORD HOSPITALITY TRUST,COM,044103869,137,9307,SH,202111,5272
293,5272044186104202111,ASHLAND GLOBAL HOLDINGS INC,COM,044186104,8668,97257,SH,202111,5272
